I love this sandwich,pos
this is an amazing place,pos
I feel very good about these beers,pos
this is my best work,pos
what an awesome view,pos
I do not like this restaurant,neg
I am tired of this stuff,neg
I can't deal with this,neg
he is my sworn enemy,neg
my boss is horrible,neg
this is an awesome place,pos
I donot like the taste of this juice,neg
I love to dance,pos
I am sick and tired of this place,neg
what a great holiday,pos
that is a bad locality to stay,neg
we will have good fun tomorrow,pos
I went to my enemy's house today,neg
